"filename","roi_temp_mean","roi_temp_sd","roi_temp_min","roi_temp_max","datetime","Time"
"ICI_0600_06_26_2022.csv",9.85306565521258,0.0857402443373627,9.49706,10.6218,"2022-06-26 06:00:00",2022-06-26 06:00:00
"ICI_0600_06_27_2022.csv",5.32715913372667,0.0661947415608524,5.10644,5.70307,"2022-06-27 06:00:00",2022-06-27 06:00:00
"ICI_0600_06_28_2022.csv",10.6155365070522,0.10204107402658,10.1172,11.0813,"2022-06-28 06:00:00",2022-06-28 06:00:00
"ICI_0600_06_29_2022.csv",12.264966579727,0.282713789274657,10.8641,13.3203,"2022-06-29 06:00:00",2022-06-29 06:00:00
"ICI_0600_06_30_2022.csv",10.4728518670077,0.156195115769725,9.65102,11.3009,"2022-06-30 06:00:00",2022-06-30 06:00:00
"ICI_0600_07_01_2022.csv",11.4648107746069,0.132239371603206,10.9817,12.3808,"2022-07-01 06:00:00",2022-07-01 06:00:00
"ICI_0600_07_02_2022.csv",9.4955374533438,0.245792392514741,8.75295,10.4324,"2022-07-02 06:00:00",2022-07-02 06:00:00
"ICI_0600_07_03_2022.csv",11.6697783520296,0.153963549224561,10.9689,12.1021,"2022-07-03 06:00:00",2022-07-03 06:00:00
"ICI_0600_07_04_2022.csv",11.4496078904054,0.116285500241891,10.7723,11.9537,"2022-07-04 06:00:00",2022-07-04 06:00:00
"ICI_0600_07_05_2022.csv",9.30632359322377,0.0532820314017715,9.09756,9.67317,"2022-07-05 06:00:00",2022-07-05 06:00:00
"ICI_0600_07_06_2022.csv",9.03747238332785,0.185500162033846,8.3143,9.93429,"2022-07-06 06:00:00",2022-07-06 06:00:00
"ICI_0600_07_07_2022.csv",12.8220234914284,0.380355917662938,10.641,14.1329,"2022-07-07 06:00:00",2022-07-07 06:00:00
"ICI_0600_07_08_2022.csv",13.5146645691423,0.217330603980006,12.3481,14.3722,"2022-07-08 06:00:00",2022-07-08 06:00:00
"ICI_0600_07_09_2022.csv",14.8409944620293,0.260533380591824,13.6918,15.6853,"2022-07-09 06:00:00",2022-07-09 06:00:00
"ICI_0600_07_10_2022.csv",14.7046861107594,0.20887765923264,13.3571,15.1958,"2022-07-10 06:00:00",2022-07-10 06:00:00
"ICI_0600_07_11_2022.csv",15.7990447393077,0.167267877532587,14.7927,16.5272,"2022-07-11 06:00:00",2022-07-11 06:00:00
"ICI_0600_07_12_2022.csv",14.6009720467955,0.119082063601851,13.9567,15.3322,"2022-07-12 06:00:00",2022-07-12 06:00:00
"ICI_0600_07_13_2022.csv",16.0161765060394,0.173553469146779,15.1448,16.4322,"2022-07-13 06:00:00",2022-07-13 06:00:00
"ICI_0600_07_14_2022.csv",14.3492153123496,0.179599287909332,13.2012,14.8335,"2022-07-14 06:00:00",2022-07-14 06:00:00
"ICI_0600_07_15_2022.csv",15.1341231369173,0.188720967980851,14.1926,15.616,"2022-07-15 06:00:00",2022-07-15 06:00:00
"ICI_0600_07_16_2022.csv",15.6074036109493,0.237648731196866,14.5095,16.4259,"2022-07-16 06:00:00",2022-07-16 06:00:00
"ICI_0600_07_17_2022.csv",15.8369031374237,0.177742352982027,14.9491,16.3833,"2022-07-17 06:00:00",2022-07-17 06:00:00
"ICI_0600_07_18_2022.csv",14.0004459952901,0.164340142715737,13.2831,14.7836,"2022-07-18 06:00:00",2022-07-18 06:00:00
"ICI_0600_07_19_2022.csv",15.1801297055025,0.14501257987732,14.5333,15.6782,"2022-07-19 06:00:00",2022-07-19 06:00:00
"ICI_0600_07_20_2022.csv",14.6543156491352,0.0858307951702961,14.1226,15.1957,"2022-07-20 06:00:00",2022-07-20 06:00:00
"ICI_0600_07_21_2022.csv",11.4584451697855,0.236301779945738,10.6006,12.2052,"2022-07-21 06:00:00",2022-07-21 06:00:00
"ICI_0600_07_22_2022.csv",17.5447216505026,0.206957756756082,16.0914,17.9753,"2022-07-22 06:00:00",2022-07-22 06:00:00
"ICI_0600_07_23_2022.csv",14.8412857891672,0.157982770924431,14.1255,15.2576,"2022-07-23 06:00:00",2022-07-23 06:00:00
"ICI_0600_07_25_2022.csv",9.49725740953635,0.0847195854628526,8.88612,9.79333,"2022-07-25 06:00:00",2022-07-25 06:00:00
"ICI_0600_07_26_2022.csv",8.91166895697754,0.0851056946574869,8.31275,9.22151,"2022-07-26 06:00:00",2022-07-26 06:00:00
"ICI_0600_07_27_2022.csv",9.03338189258312,0.14160959418323,8.45965,9.50328,"2022-07-27 06:00:00",2022-07-27 06:00:00
"ICI_0600_07_28_2022.csv",9.53545148362918,0.168954567559116,8.89021,9.9932,"2022-07-28 06:00:00",2022-07-28 06:00:00
"ICI_0600_07_30_2022.csv",9.9807626661771,0.0547827504248081,9.7824,10.2469,"2022-07-30 06:00:00",2022-07-30 06:00:00
"ICI_0600_07_31_2022.csv",11.1311643731483,0.154023045288171,9.9362,11.5607,"2022-07-31 06:00:00",2022-07-31 06:00:00
"ICI_0600_08_01_2022.csv",11.1847968676407,0.333793574184997,10.1173,11.9365,"2022-08-01 06:00:00",2022-08-01 06:00:00
"ICI_0600_08_02_2022.csv",12.8249999974678,0.2036241089334,11.7171,13.3343,"2022-08-02 06:00:00",2022-08-02 06:00:00
"ICI_0600_08_03_2022.csv",10.8753965308551,0.135865523254935,10.5239,11.7314,"2022-08-03 06:00:00",2022-08-03 06:00:00
"ICI_0600_08_04_2022.csv",7.62919406421716,0.192811731988737,7.21731,8.6484,"2022-08-04 06:00:00",2022-08-04 06:00:00
"ICI_0600_08_05_2022.csv",10.7337558742498,0.200305266318101,9.66283,11.2523,"2022-08-05 06:00:00",2022-08-05 06:00:00
"ICI_0600_08_06_2022.csv",13.7103069332253,0.286712030117807,11.6315,14.4,"2022-08-06 06:00:00",2022-08-06 06:00:00
"ICI_0600_08_07_2022.csv",11.6856671064293,0.267139058472249,10.4859,12.3776,"2022-08-07 06:00:00",2022-08-07 06:00:00
"ICI_0600_08_08_2022.csv",10.5271868668811,0.164925092420337,9.83741,11.1599,"2022-08-08 06:00:00",2022-08-08 06:00:00
"ICI_0600_08_09_2022.csv",11.1995679063584,0.284633185839124,9.72972,11.8934,"2022-08-09 06:00:00",2022-08-09 06:00:00
"ICI_0600_08_10_2022.csv",9.91759598566762,0.251016186326734,8.77312,10.527,"2022-08-10 06:00:00",2022-08-10 06:00:00
"ICI_0600_08_11_2022.csv",11.8138484221721,0.435014543986324,9.58323,12.7336,"2022-08-11 06:00:00",2022-08-11 06:00:00
"ICI_0600_08_12_2022.csv",12.1409218277582,0.110355664874661,11.2182,12.5079,"2022-08-12 06:00:00",2022-08-12 06:00:00
"ICI_0600_08_13_2022.csv",12.4662206148236,0.218825537955401,11.1722,13.0213,"2022-08-13 06:00:00",2022-08-13 06:00:00
"ICI_0600_08_14_2022.csv",10.5274059778177,0.232940061852877,9.35577,11.2409,"2022-08-14 06:00:00",2022-08-14 06:00:00
"ICI_0600_08_15_2022.csv",12.3393855207516,0.165888408377294,11.1763,12.7943,"2022-08-15 06:00:00",2022-08-15 06:00:00
"ICI_0600_08_16_2022.csv",11.2613079714365,0.205799990692222,10.3073,11.8823,"2022-08-16 06:00:00",2022-08-16 06:00:00
"ICI_0600_08_17_2022.csv",9.55755551518067,0.124899015923496,9.07964,10.2561,"2022-08-17 06:00:00",2022-08-17 06:00:00
"ICI_0600_08_18_2022.csv",8.5427844139171,0.0509617523123147,8.33062,8.83424,"2022-08-18 06:00:00",2022-08-18 06:00:00
"ICI_0600_08_19_2022.csv",9.0358322382315,0.0402437308602137,8.84609,9.26288,"2022-08-19 06:00:00",2022-08-19 06:00:00
"ICI_0600_08_20_2022.csv",8.6857464997088,0.0447413527868076,8.50388,8.95798,"2022-08-20 06:00:00",2022-08-20 06:00:00
"ICI_0600_08_21_2022.csv",8.2707097769112,0.0452538735856758,8.08792,8.50585,"2022-08-21 06:00:00",2022-08-21 06:00:00
"ICI_0600_08_22_2022.csv",10.0777790901724,0.110629463019793,9.67102,10.4785,"2022-08-22 06:00:00",2022-08-22 06:00:00
"ICI_0600_08_23_2022.csv",9.80934074523309,0.112360706736983,9.31361,10.3915,"2022-08-23 06:00:00",2022-08-23 06:00:00
"ICI_0600_08_24_2022.csv",8.6377902139728,0.143181717130109,7.83567,9.06592,"2022-08-24 06:00:00",2022-08-24 06:00:00
"ICI_0600_08_25_2022.csv",9.82125318705528,0.142509042138295,8.889,10.2741,"2022-08-25 06:00:00",2022-08-25 06:00:00
"ICI_0600_08_26_2022.csv",9.88726996378922,0.169982029847607,9.18805,10.4257,"2022-08-26 06:00:00",2022-08-26 06:00:00
"ICI_0600_08_27_2022.csv",10.9608203413436,0.152282050733778,10.1231,11.4791,"2022-08-27 06:00:00",2022-08-27 06:00:00
"ICI_0600_08_28_2022.csv",10.113178736421,0.120263905117805,9.49768,10.5506,"2022-08-28 06:00:00",2022-08-28 06:00:00
"ICI_0600_08_29_2022.csv",10.5942168324428,0.18377223275439,9.70371,11.1462,"2022-08-29 06:00:00",2022-08-29 06:00:00
"ICI_0600_08_30_2022.csv",14.3042772049328,0.247784988976764,12.8097,14.9435,"2022-08-30 06:00:00",2022-08-30 06:00:00
"ICI_0600_08_31_2022.csv",8.72157079435821,0.0894388299852244,8.14441,9.28664,"2022-08-31 06:00:00",2022-08-31 06:00:00
"ICI_0600_09_01_2022.csv",9.15489025651414,0.0812009866165315,8.6918,9.56311,"2022-09-01 06:00:00",2022-09-01 06:00:00
"ICI_0600_09_02_2022.csv",9.47537408548783,0.243030865901581,8.59437,10.2626,"2022-09-02 06:00:00",2022-09-02 06:00:00
"ICI_0600_09_03_2022.csv",9.70046961358284,0.109703714177173,9.12393,10.4944,"2022-09-03 06:00:00",2022-09-03 06:00:00
"ICI_0600_09_04_2022.csv",8.07342687321162,0.0942289883405019,7.54204,8.62558,"2022-09-04 06:00:00",2022-09-04 06:00:00
"ICI_0600_09_05_2022.csv",9.41222071104809,0.137876637293564,8.8301,9.84812,"2022-09-05 06:00:00",2022-09-05 06:00:00
"ICI_0600_09_06_2022.csv",13.2156480236003,0.167798851187045,12.261,13.572,"2022-09-06 06:00:00",2022-09-06 06:00:00
"ICI_0600_09_07_2022.csv",11.5507294902636,0.209725833715879,10.6935,12.0591,"2022-09-07 06:00:00",2022-09-07 06:00:00
