"date","doy","r.av","g.av","b.av","r.sd","g.sd","b.sd","bri.av","bri.sd","gi.av","gi.sd","gei.av","gei.sd","ri.av","ri.sd","bi.av","bi.sd","ID","GRVI","GCC","origin"
2022-02-28 13:00:00,59,129.388139818296,129.158288336009,121.178003003623,37.7335562470974,37.3988342789793,35.1766276867787,379.724431157929,108.87589504969,0.339816531192984,0.0144254072185124,7.75043385009963,14.3653369058821,0.340315652616795,0.0130791453559613,0.319867816190221,0.020959280642347,1,-0.000889014340393756,0.340136893331185,"table22"
2022-02-28 14:00:00,59,133.620313032727,131.251185935588,125.666309991353,40.3897432856608,40.1252010496515,37.1053491710347,390.537808959668,116.248811925942,0.335091024400521,0.0143391268214259,3.21574884709718,14.3487186074117,0.341667933725643,0.0131554014094251,0.323241041873836,0.0213664370185326,1,-0.00894443949751714,0.336078051662197,"table22"
2022-02-28 15:00:00,59,132.130032336727,130.837340720091,124.203039487143,39.4225310807677,39.2771276286276,35.7630649987015,387.17041254396,113.151815295729,0.337016185456507,0.0136167641141265,5.34160961631252,13.997974128558,0.340650303827806,0.0126943563498009,0.322333510715687,0.0207038729183641,1,-0.00491578708647052,0.337932177875899,"table22"
2022-02-28 16:00:00,59,137.004193982608,133.914558369502,128.587190597929,36.9027897872335,36.7974934392445,33.1252534682983,399.505942950039,105.474412750074,0.334155784700118,0.0134758440323644,2.23773215846764,14.0850791495341,0.342475902956503,0.0118720347682319,0.323368312343379,0.0197582937764239,1,-0.0114042885045122,0.335200416245746,"table22"
2022-03-01 10:00:00,60,122.991134239296,123.620835658408,116.350438805016,59.8925460197813,59.5220619639691,54.837569401325,362.96240870272,173.285730259652,0.338853963351675,0.0172567790094026,7.90009827250387,14.6799346591517,0.33492235923951,0.0217624948007464,0.326223677408815,0.0298405213557517,1,0.00255340979342081,0.34058853670342,"table22"
2022-03-01 11:00:00,60,120.146830682257,119.97164844162,113.223972828184,57.3589313245023,56.7810138486424,53.0894190071424,353.34245195206,166.27809110651,0.338166927011776,0.0171953524229318,6.57249337279964,13.7329205448101,0.337030392480442,0.0201595280104209,0.324802680507782,0.0282280993856934,1,-0.000729565842978395,0.339533638765537,"table22"
2022-03-01 12:00:00,60,122.015336645262,120.573036054094,115.541085103045,55.2339960705649,54.7590506583657,51.2177171801858,358.1294578024,160.223936030339,0.334607421587752,0.0176345004825648,3.58965035988027,14.0188921380189,0.338714725638802,0.0178859392652054,0.326677852773446,0.0270872108437351,1,-0.00594546463674145,0.3366744439119,"table22"
2022-03-01 13:00:00,60,121.933720917886,121.443188936852,115.690703515513,54.8550555256747,54.7901173947,50.6630691138512,359.067613370251,159.357356631877,0.33591504146248,0.0169658276795407,5.26195344030447,13.5575677366725,0.337770196432769,0.0163514253418367,0.326314762104751,0.0262264423336808,1,-0.00201552391033004,0.338218163974667,"table22"
2022-03-01 14:00:00,60,125.705943421936,123.455407524158,120.310504540237,55.405071825238,54.8346636475263,51.0017831524571,369.471855486331,160.223014364778,0.331387874156415,0.0177832105605325,0.894367086143579,14.2163677245185,0.338394315672384,0.016428043790408,0.330217810171201,0.026938600006767,1,-0.00903244379287625,0.33414022121294,"table22"
2022-03-01 15:00:00,60,124.40668300216,123.6211223357,115.375773763247,56.0072123327514,55.6405116756793,50.1038948780046,363.403579101107,160.580855154615,0.338022933475377,0.0166620148587841,7.45978790599345,15.4232579069341,0.340220674782006,0.0168784390999271,0.321756391742618,0.0271358631077359,1,-0.0031672282282616,0.340175852536956,"table22"
2022-03-01 16:00:00,60,120.172322546166,120.30844825003,111.776040148978,59.0010498741496,58.3648019061315,50.787146475607,352.256810945174,166.981200488985,0.338575062871352,0.0169218077282389,8.66853380491551,15.7147970782962,0.336840772884678,0.0196269092236498,0.32458416424397,0.0308317280822755,1,0.0005660565017853,0.341536187553673,"table22"
2022-03-02 10:00:00,61,123.534769944422,124.277577942601,117.410360257797,59.5771008928251,59.2990467869658,54.6453572111163,365.22270814482,172.549336350262,0.338484299656419,0.0175707209922531,7.6100256829821,14.9883987735748,0.33420205496518,0.0218341846078385,0.327313645378402,0.0299416525281268,1,0.00299746160557391,0.340278890581255,"table22"
2022-03-02 11:00:00,61,120.956396737778,120.46394413686,113.474960567126,56.690812186881,56.134493313106,52.4417900779836,354.895301441763,164.28663634916,0.338009183712592,0.0173665886682178,6.49653096881589,14.0137496683964,0.338046260492437,0.0196086940303325,0.323944555794971,0.0281166671177277,1,-0.00203981404025007,0.339435161997002,"table22"
2022-03-02 12:00:00,61,122.952364379816,121.631729395512,114.220076140545,55.1706662966555,54.6396834365109,50.7827054650951,358.804169915873,159.545841570071,0.337347277972442,0.0177423012458095,6.09101827066347,14.7812742026371,0.340916959136163,0.0176784882905017,0.321735762891395,0.0268003256059075,1,-0.00539951296062883,0.338991961615247,"table22"
2022-03-02 13:00:00,61,121.587850073675,122.324095167423,115.504824554677,54.2831801251447,54.4976566551764,50.3266893058917,359.416769795775,158.052105326583,0.338298924270047,0.0175381727007572,7.55551570649436,14.6742356846182,0.336373694126675,0.0162170448288509,0.325327381603278,0.0271603797604606,1,0.00301848723735293,0.340340533461834,"table22"
2022-03-02 14:00:00,61,126.444514966796,124.755218883421,119.379225688173,54.9426141504154,54.5557026698233,50.4482798272084,370.578959538391,158.823615002737,0.334244349409971,0.0175455958472151,3.68669711187375,14.8588478431642,0.339627602608309,0.0164448193716702,0.326128047981721,0.0270128904750715,1,-0.0067249119156391,0.3366494931035,"table22"
